id,name,light years from earth,planet mass,stellar magnitude,dicovery date
196,CoRoTID 223977153 b,,,,
197,CT Chamaleontis b,,,,
198,DE Canum Venaticorum b,,,,
199,DENIS-P J082303.1-491201 b,,,,
200,DH Tauri b,,,,
201,DMPP-1 b,,,,
202,DMPP-1 c,,,,
203,DMPP-1 d,,,,
204,DMPP-1 e,,,,
205,DMPP-2 b,,,,
206,DMPP-3 A b,,,,
207,DP Leonis b,,,,
208,DS Tucanae A b,,,,
209,EPIC 201170410.02,,,,
210,EPIC 201238110 b,,,,
211,EPIC 201427007 b,,,,
212,EPIC 201497682 b,,,,
213,EPIC 201595106 b,,,,
214,EPIC 201615463 c,,,,
215,EPIC 201754305 d,,,,
216,EPIC 201757695.02,,,,
217,EPIC 201833600 c,,,,
218,EPIC 201841433 b,,,,
219,EPIC 205950854 c,,,,
220,EPIC 206024342 b,,,,
221,EPIC 206024342 c,,,,
222,EPIC 206024342 d,,,,
223,EPIC 206032309 b,,,,
224,EPIC 206042996 b,,,,
225,DH Tauri b,,,,
226,DMPP-1 b,,,,
227,DMPP-1 c,,,,
228,DMPP-1 d,,,,
229,DMPP-1 e,,,,
230,DMPP-2 b,,,,
231,DMPP-3 A b,,,,
232,DP Leonis b,,,,
233,DS Tucanae A b,,,,
234,EPIC 201170410.02,,,,
235,EPIC 201238110 b,,,,
236,EPIC 201427007 b,,,,
237,EPIC 201497682 b,,,,
238,EPIC 201595106 b,,,,
239,EPIC 201615463 c,,,,
240,EPIC 201754305 d,,,,
241,EPIC 201757695.02,,,,
242,EPIC 201833600 c,,,,
243,EPIC 201841433 b,,,,
244,EPIC 205950854 c,,,,
245,EPIC 206024342 b,,,,
246,EPIC 206024342 c,,,,
247,EPIC 206024342 d,,,,
248,EPIC 206032309 b,,,,
249,EPIC 206042996 b,,,,
